iter	Passed	Remaining
0	0	85
1	1	82
2	2	76
3	2	71
4	3	70
5	4	69
6	5	66
7	5	66
8	6	65
9	7	64
10	7	62
11	8	62
12	9	62
13	10	62
14	10	62
15	11	61
16	12	60
17	12	59
18	13	57
19	14	57
20	15	56
21	15	55
22	16	54
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	44
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
